"time","temperature_f","humidity_percent","precipitation_in","wind_speed_mph"
2026-08-14,85.3,74,0,6.4
2026-08-14 01:00:00,83.8,80,0,5.8
2026-08-14 02:00:00,83.1,86,0,5.7
2026-08-14 03:00:00,82.6,88,0,3.6
2026-08-14 04:00:00,82.1,90,0,3.6
2026-08-14 05:00:00,81.5,93,0,3.8
2026-08-14 06:00:00,80.8,96,0,4.5
2026-08-14 07:00:00,80.1,96,0,5.5
2026-08-14 08:00:00,81.1,90,0,5.6
2026-08-14 09:00:00,83.8,84,0,4.4
2026-08-14 10:00:00,86.3,73,0,4.8
2026-08-14 11:00:00,87.4,70,0.004,4.1
2026-08-14 12:00:00,86.2,71,0.047,7.2
2026-08-14 13:00:00,86.2,72,0.102,11.3
2026-08-14 14:00:00,88.4,65,0.059,6.2
2026-08-14 15:00:00,87.5,65,0.083,0.9
2026-08-14 16:00:00,85.3,69,0.028,3.5
2026-08-14 17:00:00,86,70,0.016,2.1
2026-08-14 18:00:00,86.7,71,0,2.8
2026-08-14 19:00:00,87.1,71,0,3.9
2026-08-14 20:00:00,82.6,86,0,7.6
2026-08-14 21:00:00,81.5,89,0,7.1
2026-08-14 22:00:00,81,89,0,6.1
2026-08-14 23:00:00,80.8,91,0,5.1
2026-08-15,80.4,92,0,4.7
2026-08-15 01:00:00,80,94,0,5.1
2026-08-15 02:00:00,80.2,92,0,6.5
2026-08-15 03:00:00,80,87,0,7.3
2026-08-15 04:00:00,79.7,87,0,6.9
2026-08-15 05:00:00,79.6,87,0,8.1
2026-08-15 06:00:00,79.4,87,0,6.6
2026-08-15 07:00:00,79,88,0,6.9
2026-08-15 08:00:00,80,89,0,5.1
2026-08-15 09:00:00,81.7,83,0,4.5
2026-08-15 10:00:00,84.2,77,0,4.3
2026-08-15 11:00:00,86.2,69,0,2.6
2026-08-15 12:00:00,87.5,63,0,0.4
2026-08-15 13:00:00,87.9,63,0,2.9
2026-08-15 14:00:00,89,61,0.02,6.9
2026-08-15 15:00:00,87.7,63,0.004,7.6
2026-08-15 16:00:00,87.1,64,0.02,2.5
2026-08-15 17:00:00,87.4,64,0.004,1.7
2026-08-15 18:00:00,87.6,66,0,2.8
2026-08-15 19:00:00,87.5,66,0,1.4
2026-08-15 20:00:00,87.7,68,0,4.5
2026-08-15 21:00:00,86.5,72,0,4.4
2026-08-15 22:00:00,85,81,0,4.4
2026-08-15 23:00:00,83.5,89,0,4.4
2026-08-16,82.6,92,0,4.1
2026-08-16 01:00:00,82,94,0,3.5
2026-08-16 02:00:00,81.8,97,0,3.8
2026-08-16 03:00:00,80.8,95,0,5.3
2026-08-16 04:00:00,80.6,91,0,4.8
2026-08-16 05:00:00,80.2,90,0,4.9
2026-08-16 06:00:00,79.8,91,0,5.5
2026-08-16 07:00:00,79.4,91,0,4.9
2026-08-16 08:00:00,80.5,88,0,4.1
2026-08-16 09:00:00,82.6,82,0,3.8
2026-08-16 10:00:00,84.9,73,0,3
2026-08-16 11:00:00,86.2,69,0,2.6
2026-08-16 12:00:00,86.9,69,0,4.7
2026-08-16 13:00:00,86.2,74,0,9.1
2026-08-16 14:00:00,86.8,74,0,9.7
2026-08-16 15:00:00,87.1,74,0,9.1
2026-08-16 16:00:00,87.5,72,0,7.4
2026-08-16 17:00:00,87.7,71,0,6.7
2026-08-16 18:00:00,87.2,73,0,7.3
2026-08-16 19:00:00,87,73,0,6.6
2026-08-16 20:00:00,88,71,0,6.8
2026-08-16 21:00:00,88,70,0,6.5
2026-08-16 22:00:00,87.8,70,0,6.9
2026-08-16 23:00:00,87.3,70,0,6.5
2026-08-17,87,70,0,5.3
2026-08-17 01:00:00,86.2,73,0,4.2
2026-08-17 02:00:00,85,80,0,4
2026-08-17 03:00:00,84.4,83,0,3.4
2026-08-17 04:00:00,83.6,85,0,3.1
2026-08-17 05:00:00,82.6,89,0,3.4
2026-08-17 06:00:00,81.3,96,0,3.6
2026-08-17 07:00:00,80.3,100,0,3.6
2026-08-17 08:00:00,81.5,99,0,2.3
2026-08-17 09:00:00,84.1,87,0,1.6
2026-08-17 10:00:00,86.8,70,0,1.9
2026-08-17 11:00:00,87.6,70,0,5.5
2026-08-17 12:00:00,87.5,71,0,8.3
2026-08-17 13:00:00,87.4,70,0,9.3
2026-08-17 14:00:00,88,67,0,10.2
2026-08-17 15:00:00,87.6,67,0,11
2026-08-17 16:00:00,87.6,67,0,11.3
2026-08-17 17:00:00,87.6,67,0,10.6
2026-08-17 18:00:00,87.6,68,0,9.9
2026-08-17 19:00:00,87.3,70,0,9.4
2026-08-17 20:00:00,87.4,68,0,7.9
2026-08-17 21:00:00,87.2,69,0,7.9
2026-08-17 22:00:00,87,69,0,7.8
2026-08-17 23:00:00,87,69,0,8.3
2026-08-18,86.7,69,0,8.3
2026-08-18 01:00:00,86.2,72,0,8
2026-08-18 02:00:00,85.5,76,0,8.2
2026-08-18 03:00:00,85.4,76,0,9.3
2026-08-18 04:00:00,85.3,77,0,9.2
2026-08-18 05:00:00,85.1,77,0,8.1
2026-08-18 06:00:00,84.9,77,0,8.1
2026-08-18 07:00:00,84.8,77,0,8.3
2026-08-18 08:00:00,85.9,76,0,8.6
2026-08-18 09:00:00,86.5,74,0,9.7
2026-08-18 10:00:00,86.9,73,0,10.6
2026-08-18 11:00:00,87.1,73,0,11.9
2026-08-18 12:00:00,87.5,72,0,12.4
2026-08-18 13:00:00,87.7,71,0,12.1
2026-08-18 14:00:00,88.2,70,0,12.2
2026-08-18 15:00:00,88.1,71,0,12.2
2026-08-18 16:00:00,88,72,0,12.1
2026-08-18 17:00:00,87.9,72,0,11.6
2026-08-18 18:00:00,87.4,73,0,11.1
2026-08-18 19:00:00,87.1,74,0,11
2026-08-18 20:00:00,87,75,0,10.1
2026-08-18 21:00:00,86.9,76,0,10.2
2026-08-18 22:00:00,86.9,75,0,10.3
2026-08-18 23:00:00,87.2,73,0.004,10
2026-08-19,87.3,73,0,9.3
2026-08-19 01:00:00,87.6,70,0.012,9.6
2026-08-19 02:00:00,86.2,78,0.008,11.2
2026-08-19 03:00:00,85.9,78,0,12
2026-08-19 04:00:00,85.6,78,0,11.9
2026-08-19 05:00:00,85.5,78,0,11.5
2026-08-19 06:00:00,85.4,78,0,10.9
2026-08-19 07:00:00,85.5,77,0,10.6
2026-08-19 08:00:00,86.6,77,0,8.1
2026-08-19 09:00:00,85.1,78,0.004,9.7
2026-08-19 10:00:00,80.1,83,0.106,10.3
2026-08-19 11:00:00,80.9,83,0.024,8.6
2026-08-19 12:00:00,81.8,82,0.012,8
2026-08-19 13:00:00,82.6,81,0,8.5
2026-08-19 14:00:00,88.2,69,0,6.9
2026-08-19 15:00:00,85.8,73,0,16.5
2026-08-19 16:00:00,84.7,76,0,10
2026-08-19 17:00:00,85.3,75,0,6.1
2026-08-19 18:00:00,85.3,77,0,6.6
2026-08-19 19:00:00,84.7,79,0,6.3
2026-08-19 20:00:00,81.7,85,0,2.2
2026-08-19 21:00:00,83.4,83,0.031,2.3
2026-08-19 22:00:00,83.5,85,0.008,2
2026-08-19 23:00:00,83.5,85,0,0.6
2026-08-20,80,90,0.004,14
2026-08-20 01:00:00,78.7,93,0.035,5.1
2026-08-20 02:00:00,82.8,80,0.028,8.1
2026-08-20 03:00:00,81.7,85,0,6.2
2026-08-20 04:00:00,81.7,84,0,4.3
2026-08-20 05:00:00,81.1,86,0,2.5
2026-08-20 06:00:00,80.2,93,0,3.6
2026-08-20 07:00:00,79.9,96,0,3.4
2026-08-20 08:00:00,83,91,0,2.2
2026-08-20 09:00:00,82.5,80,0.039,2.7
2026-08-20 10:00:00,79.5,82,0.063,7.7
2026-08-20 11:00:00,81,80,0.02,1
2026-08-20 12:00:00,82.8,78,0,4.6
2026-08-20 13:00:00,83.5,79,0,5.9
2026-08-20 14:00:00,81.1,80,0,14.4
2026-08-20 15:00:00,79.5,85,0.035,7
2026-08-20 16:00:00,80.8,81,0.004,1.4
2026-08-20 17:00:00,83.4,75,0,1.4
2026-08-20 18:00:00,84.8,71,0,1.6
2026-08-20 19:00:00,85.3,72,0,4.1
2026-08-20 20:00:00,87.2,67,0,3.8
2026-08-20 21:00:00,85.3,75,0,5.8
2026-08-20 22:00:00,83.6,82,0,6.6
2026-08-20 23:00:00,82.7,85,0,4.7
